AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Anonymous / Unknown;;;"A declaration of great troubles pretended against the realme by a number of seminarie priests and Iesuits ; sent, and very secretly dispersed in the same, to worke great treasons under a false pretence of religion with a provision very necessarie for remedie thereof. Published by this Her Maiesties proclamation.";"A declaration of great troubles pretended against the realme by a number of seminarie priests and Iesuits ; sent, and very secretly dispersed in the same, to worke great treasons under a false pretence of religion with a provision very necessarie for remedie thereof. Published by this Her Maiesties proclamation.";1591;London;n. p.;English;England;Jesuits (S.J.);Anti-Catholic Controversy;English Reformation;Persecutions;"https://quod.lib.umich.edu/e/eebo2/A21879.0001.001/1:2?rgn=div1;view=fulltext"
Anonymous / Unknown;;;Relación del martirio de Tomas Haso, inclito mártir de Iesu Christo, y de Nicolas Sisburno Ingleses, y de una muger varonil: con otros avisos importantes, embiados por un sacerdote del Seminario de Seuilla, testigo de vista que fue de todo.;Relación del martirio de Tomas Haso, inclito mártir de Iesu Christo, y de Nicolas Sisburno Ingleses, y de una muger varonil: con otros avisos importantes, embiados por un sacerdote del Seminario de Seuilla, testigo de vista que fue de todo.;1615;Granada;Antonio René Lazcano;Spanish;England;Thomas Has;Nicholas Sisbourne;Persecutions;Martyrdom;http://n2t.net/ark:/87925/drs1.iberian.45518
Anonymous / Unknown;;;Relacion verdadera, embiada al seminario de Sevilla, por un padre de la Compañia de Jesus, que esta preso en Inglaterra entre muchos otros sacerdotes. Dase quenta de la prision de deziseys mil christianos, y de los crueles martyrios que algunos an padecido;Relacion verdadera, embiada al seminario de Sevilla, por un padre de la Compañia de Jesus, que esta preso en Inglaterra entre muchos otros sacerdotes. Dase quenta de la prision de deziseys mil christianos, y de los crueles martyrios que algunos an padecido;1615;Granada;Lorenzana, Bartolomé;Spanish;England;Tortures;Persecutions;Imprisonment;Historical accounts;http://n2t.net/ark:/87925/drs1.iberian.62419
Carrasco, Benito;16;[ Autore non presente in Viaf.org ];Aqui se contiene un milagro que el glorioso san Diego hizo con una devota suya, a los veinte y cinco de Febrero deste presente año de mil y quinientos y noventa y quatro. Juntamente de la gran justicia que en la ciudad de Lisboa se hizo de un Ingles Luterano, y de otras personas. Y lleva al cabo una letrilla nueva al tono de la çaravanda, sobre la nueva prematica.;Aqui se contiene un milagro [...] juntamente de la gran justicia que en la ciudad de Lisboa se hizo de un Ingles Luterano, y de otras personas.;[1594];Seville;En casa de Benito Sanchez;Spanish;English Reformation;Martyrdom ;Lutheranism;Punishment;Lisbon;http://catalogo.bne.es/uhtbin/cgisirsi/x/0/0/57/20/R^2F9478/0/X1001228784?user_id=WEBSERVER
Sánchez Mazo, Pedro;16;[ Autore non presente in Viaf.org ];Verísima relación del riguroso y acervo martyrio que la reyna inglesa dio á dos soldados de nuestra nación española, del exército del Príncipe Cardenal, y de cómo la sereníssima Virgen les manifestó el martirio que havian de pasar, juntamente con el convertimiento de seis judíos que recibieron el mismo martirio muriendo empalados. En 17 de mayo de 1596 años. Con un romance al cabo.;Verísima relación del riguroso y acervo martyrio que la reyna inglesa dio á dos soldados de nuestra nación española [...];1596;Alcalá de Henares;n. p.;Spanish;Martyrdom;English Reformation;Elizabethan Martyrs;Conversions;Jews;https://archive.org/details/bibliotecadeauto10madruoft/page/lxxx/mode/2up?q=%22aceruo+martyrio%22
Alfield, Thomas;1552-1585;http://viaf.org/viaf/27174073/#Alfield,_Thomas,_1552-1585;A true reporte of the death and martyrdome of M. Campion Iesuite and preiste, and M. Sherwin, and M. Bryan preistes, at Tiborne the first of December 1581 Observid and written by a Catholike preist, which was present therat Wheruuto [sic] is annexid certayne verses made by sundrie persons.;A true reporte of the death and martyrdome of M. Campion ... ;1581;London;Richard Verstegan;English;Catholicism;Elizabethan Martyrs;England;Jesuits (S. J.);;https://gallica.bnf.fr/ark:/12148/bpt6k53325w/f2.item
Allen, William;1532-1594;http://viaf.org/viaf/9856234/#Allen,_William,_1532-1594;An apologie and true declaration of the institution and endevours of the two English colleges, the one in Rome the other now resident resident in Rhemes against certaine sinister informations given up against the same.  ;An apologie and true declaration of the [...] endevours of the two English colleges ...;1581;Rheims;Jean Foigny;English;Catholicism;Elizabethan Martyrs;England;;;: https://quod.lib.umich.edu/e/eebo/A16785.0001.001?view=toc
Allen, William;1532-1594;http://viaf.org/viaf/9856234/#Allen,_William,_1532-1594;A briefe historie of the glorious martyrdom of XII. reverend priests, executed within these twelve monethes for confession and defence of the Catholike faith But under the false pretence of treason. With a note of sundrie things that befel them in their life and imprisonment: and a preface declaring their innocencie. Set furth by such as were much conversant vwith them in their life, and present at their arraignement and death. Occidistis, sed non possedistis. that is you have slaine them, but you have not gotten possession.;A briefe historie of the glorious martyrdom of XII. reverend priests ...;1582;Rheims;Jean Foigny;English;Catholicism;Elizabethan Martyrs;England;;;"https://quod.lib.umich.edu/e/eebo2/A16784.0001.001/1:1?rgn=div1;view=fulltext"
Anonymous / Unknown;;;"A generall bill of the mortality of the clergy of London; or, a brief martyrology and catalogue of the learned, grave, religious, and painfull ministers of the City of London who have been imprisoned, plundered, and barbarousl used, and deprived of all livelihood for themselve and their families, in the late rebellion, for their constancy in the Protestant religion, established in this kingdom and their loyalty to their King, under that great persecution by the Presbyterians.";A generall bill of the mortality of the clergy of London ...;1662;London;n. p. ;English;Martyrology;England;Anglicanism;Presbyterians;;"https://quod.lib.umich.edu/cgi/t/text/text-idx?c=eebo2;idno=A42604.0001.001"
Anonymous / Unknown;;;A true report of the inditement, arraignment, conviction, condemnation, and execution of John Weldon, William Hartley, and Robert Sutton who suffeed for high treason in severall places in the Citie of London on Saturday the fith of October anno 1588. With the speeches which passed between a learned preacher and them: faithfullie collected, even in the same wordes as meere as might remembered. By one of credit that was  present at the same.     ;A true report of the inditement, arraignment, conviction, condemnation, and execution of John Weldon ...   ;1588;London ;Richard Jones;English;Protestantism;Elizabethan Martyrs;England;;;NO LINK FOUND
Anonymous / Unknown;;;Dit Boec wort genoemt: Het Offer des Heeren, om het inhout van sommighe opgheofferde kinderen Godts: De welcke voortgebracht hebben wt den goeden schat haers herten, Belijdingen, Sendtbrieven, ende Testamenten, de welcke sy metten monde beleden ende metten bloede bezegelt hebben, Tot troost ende versterckinghe der Slachschaepkens Christi, die totter doot geschict zijn, Tot lot, prijs ende eere des geens diet al in allen vermach, wiens macht duert van eewicheyt tot eewicheyt, Amen. ;Dit Boec wort genoemt: Het Offer des Heeren ...;1562;Franeker ;Jan Hendricksz;Dutch ;Martyrology;Anabaptism;Mennonites;Netherlands;;"https://www.google.com/books/edition/Dit_boec_wort_genoemt_Het_offer_des_Heer/lT9lAAAAcAAJ?hl=en&gbpv=1

Transcript: https://www.dbnl.org/tekst/_off001offe01_01/"
